source_portal,source_url,slug,name,brand,currency,price_low_eur,price_high_eur,overall_rating,power,control,ball_output,maneuverability,sweet_spot,total,feel_es,shape_es,weight_raw
padelzoom,https://padelzoom.es/head-flash-roja-2023/,head-flash-roja-2023,Head Flash Roja 2023,Head,EUR,74.9,74.9,6.9,6.5,7.5,6.5,7.5,6.5,6.9,Medio-Blando,Lágrima,350-370 gramos
padelzoom,https://padelzoom.es/babolat-dyna-spirit-2023/,babolat-dyna-spirit-2023,Babolat Dyna Spirit 2023,Babolat,EUR,127.9,139.0,8.0,7.0,8.0,8.5,8.5,8.0,8.0,Medio-Blando,Lágrima,320-340 gramos
padelzoom,https://padelzoom.es/puma-solar-attack-ctr-2023/,puma-solar-attack-ctr-2023,Puma Solar Attack CTR 2023,Puma,EUR,120.0,,7.7,7.5,8.0,8.0,7.5,7.5,7.7,Medio,Lágrima,360 +- 10 gramos
padelzoom,https://padelzoom.es/dunlop-galactica-pro-2023/,dunlop-galactica-pro-2023,Dunlop Galactica Pro 2023,Dunlop,EUR,129.9,139.9,8.4,8.0,9.0,7.5,8.5,9.0,8.4,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/dunlop-blitz-attack-2023/,dunlop-blitz-attack-2023,Dunlop Blitz Attack 2023,Dunlop,EUR,82.9,82.9,7.7,7.0,7.5,8.0,8.0,8.0,7.7,Medio-Blando,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/bullpadel-hack-03-comfort-2024/,bullpadel-hack-03-comfort-2024,Bullpadel Hack 03 Comfort 2024,Bullpadel,EUR,198.9,129.95,8.3,8.5,7.5,9.5,8.0,8.0,8.3,Medio-Blando,Diamante,360-375 gramos
padelzoom,https://padelzoom.es/bullpadel-vertex-04-comfort-2024/,bullpadel-vertex-04-comfort-2024,Bullpadel Vertex 04 Comfort 2024,Bullpadel,EUR,129.95,,8.3,8.0,7.5,9.5,8.0,8.5,8.3,Medio-Blando,Diamante,360-375 gramos
padelzoom,https://padelzoom.es/bullpadel-vertex-04-woman-2024/,bullpadel-vertex-04-woman-2024,Bullpadel Vertex 04 Woman 2024,Bullpadel,EUR,219.96,149.95,8.3,7.5,7.5,9.5,8.5,8.5,8.3,Medio-Blando,Diamante,360-375 gramos
padelzoom,https://padelzoom.es/head-extreme-elite-2024/,head-extreme-elite-2024,Head Extreme Elite 2024,Head,EUR,119.5,146.28,8.5,8.5,9.5,8.5,8.0,8.0,8.5,Medio,Diamante,365 gramos
padelzoom,https://padelzoom.es/head-extreme-evo-2024/,head-extreme-evo-2024,Head Extreme EVO 2024,Head,EUR,63.99,67.72,6.8,6.0,7.0,7.0,7.0,7.0,6.8,Medio,Redonda,360 gramos
padelzoom,https://padelzoom.es/head-extreme-motion-2024/,head-extreme-motion-2024,Head Extreme Motion 2024,Head,EUR,149.95,179.9,8.5,8.5,9.5,8.0,8.5,8.0,8.5,Medio-Duro,Diamante,360 gramos
padelzoom,https://padelzoom.es/head-extreme-one-2024/,head-extreme-one-2024,Head Extreme One 2024,Head,EUR,175.9,209.0,8.4,9.0,9.0,7.5,9.0,7.5,8.4,Medio-Duro,Diamante,345 gramos
padelzoom,https://padelzoom.es/nox-equation-advanced-2024/,nox-equation-advanced-2024,Nox Equation Advanced 2024,Nox,EUR,82.9,79.95,7.8,6.5,8.0,8.5,8.0,8.0,7.8,Medio-Blando,Redonda,360-375 gramos
padelzoom,https://padelzoom.es/nox-ml10-pro-cup-luxury-2024/,nox-ml10-pro-cup-luxury-2024,Nox ML10 Pro Cup Luxury 2024,Nox,EUR,139.95,149.95,8.6,8.5,9.5,8.0,8.5,8.5,8.6,Medio,Redonda,360-375 gramos
padelzoom,https://padelzoom.es/star-vie-kenta-pro-2024/,star-vie-kenta-pro-2024,Star Vie Kenta Pro 2024,Star Vie,EUR,159.95,249.95,8.6,8.5,9.5,7.5,8.5,9.0,8.6,Duro,Redonda,350-380 gramos
padelzoom,https://padelzoom.es/star-vie-kenta-speed-2024/,star-vie-kenta-speed-2024,Star Vie Kenta Speed 2024,Star Vie,EUR,129.95,188.9,8.4,7.5,8.5,8.5,8.5,9.0,8.4,Medio,Redonda,350-380 gramos
padelzoom,https://padelzoom.es/nox-at-pro-cup-genius-2024/,nox-at-pro-cup-genius-2024,Nox AT10 Luxury Genius 12K Alum Xtrem 2026 Agustin Tapia,Nox,EUR,279.9,,8.7,9.0,8.5,7.5,9.5,9.0,8.7,Medio-Duro,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/nox-ml10-luxury-bahia-12k-2024/,nox-ml10-luxury-bahia-12k-2024,Nox ML10 Luxury Bahia 12K 2024,Nox,EUR,129.95,149.99,8.5,8.0,8.5,9.0,8.5,8.5,8.5,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/bullpadel-flow-woman-2024/,bullpadel-flow-woman-2024,Bullpadel Flow Woman 2024,Bullpadel,EUR,189.9,134.95,8.3,7.5,8.0,9.5,8.5,8.0,8.3,Medio-Blando,Lágrima,345-360 gramos
padelzoom,https://padelzoom.es/bullpadel-elite-woman-2024/,bullpadel-elite-woman-2024,Bullpadel Elite Woman 2024,Bullpadel,EUR,199.9,152.89,8.5,8.5,8.0,9.0,8.5,8.5,8.5,Medio-Blando,Lágrima,350-365 gramos
padelzoom,https://padelzoom.es/bullpadel-vertex-hybrid-04-2024/,bullpadel-vertex-hybrid-04-2024,Bullpadel Vertex Hybrid 04 2024,Bullpadel,EUR,242.0,169.9,8.6,8.0,9.0,8.5,8.5,9.0,8.6,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/bullpadel-hack-03-hybrid-2024/,bullpadel-hack-03-hybrid-2024,Bullpadel Hack 03 Hybrid 2024,Bullpadel,EUR,233.9,169.95,8.5,8.5,9.0,8.0,8.5,8.5,8.5,Medio-Duro,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/bullpadel-neuron-2024/,bullpadel-neuron-2024,Bullpadel Neuron 2024,Bullpadel,EUR,244.75,149.9,8.5,7.5,8.5,9.0,8.5,9.0,8.5,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/nox-ml10-pro-cup-2023/,nox-ml10-pro-cup-2023,Nox ML10 Pro Cup 2023,Nox,EUR,99.0,151.95,8.6,8.0,9.0,8.5,8.5,9.0,8.6,Medio-Blando,Redonda,360-375 gramos
padelzoom,https://padelzoom.es/kombat-delta-force-mkiii-2024/,kombat-delta-force-mkiii-2024,Kombat Delta Force MKIII 2024,Kombat,EUR,99.0,125.0,8.1,7.0,8.5,8.0,8.5,8.5,8.1,Medio,Redonda,360-370 gramos
padelzoom,https://padelzoom.es/kombat-green-beret-2024/,kombat-green-beret-2024,Kombat Green Beret 2024,Kombat,EUR,80.0,99.0,8.1,9.0,8.5,7.5,8.0,7.5,8.1,Duro,Diamante,360-370 gramos
padelzoom,https://padelzoom.es/kombat-sas-2024/,kombat-sas-2024,Kombat SAS 2024,Kombat,EUR,99.0,125.0,8.2,7.0,8.0,9.0,8.5,8.5,8.2,Medio-Blando,Redonda,360-370 gramos
padelzoom,https://padelzoom.es/kombat-swat-2024/,kombat-swat-2024,Kombat SWAT 2024,Kombat,EUR,99.0,125.0,8.1,8.5,8.0,8.5,8.0,7.5,8.1,Medio-Blando,Diamante,360-370 gramos
padelzoom,https://padelzoom.es/kombat-swat-oneil-2024/,kombat-swat-oneil-2024,Kombat SWAT Oneil 2024,Kombat,EUR,125.0,,8.1,8.0,8.0,8.5,8.5,7.5,8.1,Medio-Blando,Diamante,350-360 gramos
padelzoom,https://padelzoom.es/star-vie-aquila-speed-2024/,star-vie-aquila-speed-2024,Star Vie Aquila Speed 2024,Star Vie,EUR,98.9,114.95,8.3,7.5,8.0,9.5,8.0,8.5,8.3,Medio-Blando,Lágrima,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-arcadia-2-0-2024/,star-vie-arcadia-2-0-2024,Star Vie Arcadia 2.0 2024,Star Vie,EUR,59.9,80.95,6.7,5.5,6.0,8.0,7.0,7.0,6.7,Medio-Blando,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-astrum-2024/,star-vie-astrum-2024,Star Vie Astrum 2024,Star Vie,EUR,129.99,179.0,8.6,8.0,8.5,9.0,8.0,9.5,8.6,Medio,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-eclipta-2024/,star-vie-eclipta-2024,Star Vie Eclipta 2024,Star Vie,EUR,89.9,154.9,7.6,6.5,7.0,8.5,8.0,8.0,7.6,Medio-Blando,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-helion-2024/,star-vie-helion-2024,Star Vie Helion 2024,Star Vie,EUR,89.9,154.9,7.7,7.0,7.5,8.0,8.0,8.0,7.7,Medio-Blando,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-metheora-2024/,star-vie-metheora-2024,Star Vie Metheora 2024,Star Vie,EUR,118.9,163.0,8.6,7.5,9.0,9.0,8.0,9.5,8.6,Medio-Blando,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-titania-2024/,star-vie-titania-2024,Star Vie Titania 2024,Star Vie,EUR,97.9,109.95,8.3,7.5,8.0,9.0,8.0,9.0,8.3,Medio-Blando,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-titania-pro-2024/,star-vie-titania-pro-2024,Star Vie Titania Pro 2024,Star Vie,EUR,97.9,145.09,8.3,8.0,8.5,8.0,8.0,9.0,8.3,Medio-Duro,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-titania-speed-2024/,star-vie-titania-speed-2024,Star Vie Titania Speed 2024,Star Vie,EUR,97.9,109.95,8.3,7.0,7.5,10.0,8.0,9.0,8.3,Blando,Redonda,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-radar-2024/,star-vie-radar-2024,Star Vie Radar 2024,Star Vie,EUR,89.9,143.91,7.6,7.5,7.5,8.0,7.5,7.5,7.6,Medio-Blando,Lágrima,350-385 gramos
padelzoom,https://padelzoom.es/kombat-obus-2024/,kombat-obus-2024,Kombat Obus 2024,Kombat,EUR,99.0,125.0,8.1,8.0,8.5,7.5,8.5,8.0,8.1,Duro,Lágrima,360-370 gramos
padelzoom,https://padelzoom.es/star-vie-aquila-2024/,star-vie-aquila-2024,Star Vie Aquila 2024,Star Vie,EUR,98.9,114.95,8.3,8.0,8.5,8.5,8.0,8.5,8.3,Medio,Lágrima,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-aquila-pro-2024/,star-vie-aquila-pro-2024,Star Vie Aquila Pro 2024,Star Vie,EUR,108.9,134.51,8.4,9.0,8.5,8.0,8.0,8.5,8.4,Medio-Duro,Lágrima,350-385 gramos
padelzoom,https://padelzoom.es/star-vie-basalto-pro-2024/,star-vie-basalto-pro-2024,Star Vie Basalto Pro 2024,Star Vie,EUR,179.9,179.9,8.6,9.5,9.0,7.5,8.0,9.0,8.6,Duro,Lágrima,350-385 gramos
padelzoom,https://padelzoom.es/kombat-hunter-mkiii-2024/,kombat-hunter-mkiii-2024,Kombat Hunter MKIII 2024,Kombat,EUR,125.0,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Medio,Lágrima,360-370 gramos
padelzoom,https://padelzoom.es/kombat-obus-oneil-2024/,kombat-obus-oneil-2024,Kombat Obus Oneil 2024,Kombat,EUR,125.0,,8.1,8.5,8.5,7.5,8.0,8.0,8.1,Duro,Lágrima,350-360 gramos
padelzoom,https://padelzoom.es/adidas-adipower-ctrl-3-3-2024/,adidas-adipower-ctrl-3-3-2024,Adidas Adipower CTRL 3.3 2024,Adidas,EUR,149.9,210.6,8.4,7.0,9.0,8.0,9.0,9.0,8.4,Medio-Duro,Redonda,360-375 gramos
padelzoom,https://padelzoom.es/adidas-adipower-ctrl-team-3-3-2024/,adidas-adipower-ctrl-team-3-3-2024,Adidas Adipower CTRL Team 3.3 2024,Adidas,EUR,98.9,130.0,8.1,6.0,8.5,8.5,9.0,8.5,8.1,Medio-Blando,Redonda,360-375 gramos
padelzoom,https://padelzoom.es/adidas-adipower-light-3-3-2024/,adidas-adipower-light-3-3-2024,Adidas Adipower Light 3.3 2024,Adidas,EUR,150.0,150.0,8.4,6.0,8.0,9.5,9.5,9.0,8.4,Medio-Blando,Redonda,345-360 gramos
padelzoom,https://padelzoom.es/adidas-adipower-multiweight-3-3-2024/,adidas-adipower-multiweight-3-3-2024,Adidas Adipower Multiweight 3.3 2024,Adidas,EUR,159.9,170.0,8.6,9.5,8.5,9.0,8.0,8.0,8.6,Medio-Duro,Diamante,355-365 gramos (0+9)
padelzoom,https://padelzoom.es/adidas-adipower-team-light-3-3-2024/,adidas-adipower-team-light-3-3-2024,Adidas Adipower Team Light 3.3 2024,Adidas,EUR,82.99,130.0,8.1,5.5,8.5,8.5,9.5,8.5,8.1,Medio-Blando,Redonda,345-360 gramos
padelzoom,https://padelzoom.es/adidas-cross-it-2024/,adidas-cross-it-2024,Adidas Cross It 2024,Adidas,EUR,194.9,349.9,8.6,9.5,9.0,8.0,8.5,8.0,8.6,Medio-Duro,Diamante,360-375 gramos
