source_portal,source_url,slug,name,brand,description,published_at,overall_rating,power,control,rebound,maneuverability,sweet_spot
padelful,https://www.padelful.com/en/rackets/adidas-drive-3-2-2023,adidas-drive-3-2-2023,Adidas Drive 3.2 2023,Adidas,,2023-07-31T20:16:19.318Z,6.0,6.0,6.0,5.5,7.0,5.5
padelful,https://www.padelful.com/en/rackets/adidas-drive-3-2-bronze-2023,adidas-drive-3-2-bronze-2023,Adidas Drive 3.2 Bronze 2023,Adidas,,2023-08-04T18:50:31.855Z,5.9,5.9,5.8,5.4,6.9,5.5
padelful,https://www.padelful.com/en/rackets/adidas-drive-3-3-blue-2024,adidas-drive-3-3-blue-2024,Adidas Drive 3.3 Blue 2024,Adidas,,2023-12-20T11:54:22.317Z,6.0,6.0,6.1,5.6,7.0,5.5
padelful,https://www.padelful.com/en/rackets/adidas-drive-black-2026,adidas-drive-black-2026,Adidas Drive Black 2026,Adidas,,2025-12-08T12:53:44.712Z,6.1,6.2,6.2,5.6,6.9,5.5
padelful,https://www.padelful.com/en/rackets/adidas-drive-black-3-4-2025,adidas-drive-black-3-4-2025,Adidas Drive Black 3.4 2025,Adidas,,2025-02-12T15:09:27.152Z,6.0,5.8,6.1,5.7,7.0,5.5
padelful,https://www.padelful.com/en/rackets/adidas-drive-blue-2026,adidas-drive-blue-2026,Adidas Drive Blue 2026,Adidas,,2025-12-08T12:56:53.668Z,6.0,5.9,6.0,5.5,6.9,5.6
padelful,https://www.padelful.com/en/rackets/adidas-drive-grey-3-4-2025,adidas-drive-grey-3-4-2025,Adidas Drive Grey 3.4 2025,Adidas,,2025-02-12T15:10:38.985Z,5.9,5.8,5.9,5.6,6.9,5.3
padelful,https://www.padelful.com/en/rackets/adidas-drive-light-2026,adidas-drive-light-2026,Adidas Drive Light 2026,Adidas,,2025-12-08T12:54:58.489Z,6.1,5.7,6.0,5.4,7.6,5.6
padelful,https://www.padelful.com/en/rackets/adidas-drive-light-3-1-2022,adidas-drive-light-3-1-2022,Adidas Drive Light 3.1 2022,Adidas,,2022-08-07T12:20:01.883Z,6.0,5.3,6.2,5.7,7.5,5.3
padelful,https://www.padelful.com/en/rackets/adidas-drive-light-3-2-2023,adidas-drive-light-3-2-2023,Adidas Drive Light 3.2 2023,Adidas,,2023-08-07T10:51:51.258Z,6.0,5.4,6.1,5.6,7.4,5.6
padelful,https://www.padelful.com/en/rackets/adidas-drive-light-3-3-2024,adidas-drive-light-3-3-2024,Adidas Drive Light 3.3 2024,Adidas,,2023-12-20T12:29:45.363Z,6.1,5.6,6.2,5.5,7.6,5.4
padelful,https://www.padelful.com/en/rackets/adidas-drive-light-3-4-2025,adidas-drive-light-3-4-2025,Adidas Drive Light 3.4 2025,Adidas,,2025-02-12T15:11:19.073Z,6.1,5.4,6.1,5.6,7.6,5.6
padelful,https://www.padelful.com/en/rackets/adidas-drive-vintage-3-3-2024,adidas-drive-vintage-3-3-2024,Adidas Drive Vintage 3.3 2024,Adidas,,2023-12-20T12:09:32.968Z,6.0,6.0,5.9,5.6,7.1,5.5
padelful,https://www.padelful.com/en/rackets/adidas-essnova-carbon-3-1-2022,adidas-essnova-carbon-3-1-2022,Adidas Essnova Carbon 3.1 2022,Adidas,,2022-08-04T18:03:07.062Z,8.0,8.4,8.0,8.5,8.1,7.1
padelful,https://www.padelful.com/en/rackets/adidas-essnova-carbon-ctrl-3-1-2022,adidas-essnova-carbon-ctrl-3-1-2022,Adidas Essnova Carbon CTRL 3.1 2022,Adidas,,2022-08-07T11:26:51.946Z,8.1,7.1,8.6,8.4,8.5,8.1
padelful,https://www.padelful.com/en/rackets/adidas-match-3-1-2022,adidas-match-3-1-2022,Adidas Match 3.1 2022,Adidas,,2022-08-04T17:44:50.819Z,6.1,5.8,6.6,5.7,7.1,5.1
padelful,https://www.padelful.com/en/rackets/adidas-match-3-2-2023,adidas-match-3-2-2023,Adidas Match 3.2 2023,Adidas,,2023-08-06T19:59:25.838Z,6.0,5.9,6.4,5.5,7.1,5.0
