unified_id,canonical_name,brand,year,source_count,reliability_score,source_portals,source_urls_json,aliases_json,slug_canonical,shape,balance,surface,level,feel,weight_raw,image_source_recommended,overall_rating_avg,power_avg,control_avg,comfort_avg,spin_avg,forgiveness_avg,maneuverability_avg,low_speed_avg,rebound_avg,sweet_spot_avg,ball_output_avg,effect_avg,tolerance_avg,total_avg,has_padelful,padelful_url,padelful_name,has_pala-hack,pala-hack_url,pala-hack_name,has_padelzoom,padelzoom_url,padelzoom_name,has_padelreference,padelreference_url,padelreference_name,has_extreme-tennis,extreme-tennis_url,extreme-tennis_name
racket-00296,Bullpadel Hack 03 FIP Paquito Navarro 2023,bullpadel,2023,1,1,padelful,"{""padelful"": ""https://www.padelful.com/en/rackets/bullpadel-hack-03-fip-paquito-navarro-2023""}","[""Bullpadel Hack 03 FIP Paquito Navarro 2023""]",bullpadel-hack-03-fip-paquito-navarro-2023,,,,,,,padelful,8.7,10.0,9.4,,,,8.1,,7.8,8.2,,,,,1,https://www.padelful.com/en/rackets/bullpadel-hack-03-fip-paquito-navarro-2023,Bullpadel Hack 03 FIP Paquito Navarro 2023,0,,,0,,,0,,,0,,
racket-02136,Bullpadel Hack 04 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22053-bullpadel-hack-04-26-racket.html""}","[""Bullpadel Hack 04 26 racket""]",22053-bullpadel-hack-04-26-racket,,,,,,,extreme-tennis,,78.0,81.0,62.0,68.0,66.0,73.0,65.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22053-bullpadel-hack-04-26-racket.html,Bullpadel Hack 04 26 racket
racket-02176,Bullpadel Hack 04 Comfort 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22057-bullpadel-hack-04-comfort-26-racket.html""}","[""Bullpadel Hack 04 Comfort 26 racket""]",22057-bullpadel-hack-04-comfort-26-racket,,,,,,,extreme-tennis,,72.0,73.0,78.0,68.0,71.0,69.0,78.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22057-bullpadel-hack-04-comfort-26-racket.html,Bullpadel Hack 04 Comfort 26 racket
racket-01877,Bullpadel Hack 04 Hyb Cloud 2026,bullpadel,2026,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-04-hyb-cloud-2026/""}","[""Bullpadel Hack 04 Hyb Cloud 2026""]",bullpadel-hack-04-hyb-cloud-2026,Teardrop,Low,Rough,Intermediate,Soft,,pala-hack,8.45,,,,,,,,,,,,,,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-04-hyb-cloud-2026/,Bullpadel Hack 04 Hyb Cloud 2026,0,,,0,,,0,,
racket-02137,Bullpadel Hack 04 Hybrid 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22054-bullpadel-hack-04-hybrid-26-racket.html""}","[""Bullpadel Hack 04 Hybrid 26 racket""]",22054-bullpadel-hack-04-hybrid-26-racket,,,,,,,extreme-tennis,,64.0,84.0,75.0,65.0,83.0,84.0,73.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22054-bullpadel-hack-04-hybrid-26-racket.html,Bullpadel Hack 04 Hybrid 26 racket
racket-01621,Bullpadel Hack 04 Premier 2025,bullpadel,2025,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-04-premier-2025/""}","[""Bullpadel Hack 04 Premier 2025""]",bullpadel-hack-04-premier-2025,Diamond,High,Rough,Advanced,Hard,,pala-hack,8.6,9.0,8.25,,,,8.25,,,8.75,8.75,,,8.6,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-04-premier-2025/,Bullpadel Hack 04 Premier 2025,0,,,0,,,0,,
racket-02148,Bullpadel Hack 04 Premier Padel 26 Padel Racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/23335-bullpadel-hack-04-premier-padel-26-padel-racket.html""}","[""Bullpadel Hack 04 Premier Padel 26 Padel Racket""]",23335-bullpadel-hack-04-premier-padel-26-padel-racket,,,,,,,extreme-tennis,,77.0,80.0,62.0,68.0,66.0,73.0,64.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/23335-bullpadel-hack-04-premier-padel-26-padel-racket.html,Bullpadel Hack 04 Premier Padel 26 Padel Racket
racket-02149,Bullpadel Hack 04 Premier Padel TF 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22456-bullpadel-hack-04-premier-padel-tf-26-racket.html""}","[""Bullpadel Hack 04 Premier Padel TF 26 racket""]",22456-bullpadel-hack-04-premier-padel-tf-26-racket,,,,,,,extreme-tennis,,77.0,80.0,62.0,68.0,66.0,73.0,64.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22456-bullpadel-hack-04-premier-padel-tf-26-racket.html,Bullpadel Hack 04 Premier Padel TF 26 racket
racket-01622,Bullpadel Hack 04 Tour Final 2025,bullpadel,2025,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-04-tour-final-2025/""}","[""Bullpadel Hack 04 Tour Final 2025""]",bullpadel-hack-04-tour-final-2025,Diamond,"High, Medium",Rough,Advanced,"Hard, Medium",,pala-hack,8.65,9.75,8.25,,,,8.0,,,8.5,8.75,,,8.65,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-hack-04-tour-final-2025/,Bullpadel Hack 04 Tour Final 2025,0,,,0,,,0,,
racket-01968,Bullpadel Hack 04 Tour Final 24,bullpadel,2024,1,1,padelreference,"{""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/bullpadel-hack-04-tour-final-24""}","[""Bullpadel Hack 04 Tour Final 24""]",bullpadel-hack-04-tour-final-24,Diamond,Head Heavy,Carbon Fiber,,,367.5g,padelreference,,10.0,8.0,7.0,,,7.0,,,,,9.0,7.0,,0,,,0,,,0,,,1,https://www.padelreference.com/en/padel-rackets/p/bullpadel-hack-04-tour-final-24,Bullpadel Hack 04 Tour Final 24,0,,
